Station_Name,Open_Date,Open_Year,BOROUGH,Latitude,Longitude,EV Level2 EVSE Num,EV DC Fast Count,Groups With Access Code
Prestige Parking Corp,2022-06-15,2022,MANHATTAN,40.756519,-73.961074,2,NA,Public
GMC Parking 420 E 53rd - Tesla Destination,2018-08-10,2018,MANHATTAN,40.755289,-73.963804,1,NA,Public
Standard Parking Gateway Plaza Garage - Tesla Destination,2017-08-30,2017,MANHATTAN,40.711145,-74.016332,3,NA,Public
Sky Apts - Garage 1st Floor,2022-07-23,2022,MANHATTAN,40.761949,-73.99888,20,NA,Public
Skyline Tower Garage,2024-04-25,2024,QUEENS,40.74848,-73.9445,4,NA,Public - Call ahead
867 Dekalb Ave,2024-01-22,2024,BROOKLYN,40.69273,-73.9417,1,NA,Public - Credit card at all times
73 Starr LLC - Parking Lot,2022-04-19,2022,BROOKLYN,40.7019,-73.9266,4,NA,Public
Icon Parking 40 W 26th Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.744467,-73.990662,3,NA,Public
Enterprise 38 - Garage,2021-12-06,2021,MANHATTAN,40.757123,-73.99832,4,NA,Public
577 Baltic Street - Adam America Real Estate - Tesla Destination,2017-04-12,2017,BROOKLYN,40.681151,-73.982101,4,NA,Public
Quik Park 808 Garage LLC - Tesla Destination,2015-11-20,2015,MANHATTAN,40.793877,-73.967498,3,NA,Public
Apple West Parking,2020-06-19,2020,MANHATTAN,40.795783,-73.973678,4,NA,Public
RapidPark 600 Columbus Ave-QBDestinationSiteID18637 - Tesla Destination,2016-06-30,2016,MANHATTAN,40.78859,-73.97118,2,NA,Public
"The Carlyle Hotel, A Rosewood Hotel - Tesla Destination",2015-09-25,2015,MANHATTAN,40.77438,-73.963157,2,NA,Public
87-56 Francis Lewis Blvd - Garage,2024-06-07,2024,QUEENS,40.722061,-73.761161,44,NA,Public
TATABROOKFIELD #2,2021-01-27,2021,MANHATTAN,40.755077,-73.955605,1,NA,Public
Energy Plus Site 8,2022-05-22,2022,MANHATTAN,40.781104,-73.984478,1,NA,Public
iPark NYC 549 W 23rd Street - Tesla Destination,2015-05-15,2015,MANHATTAN,40.749255,-74.005914,3,NA,Public
iPark NYC 400 E 35th NYU - Tesla Destination,2015-10-07,2015,MANHATTAN,40.743971,-73.971882,3,NA,Public
Carnegie Hill,2019-06-26,2019,MANHATTAN,40.784865,-73.948526,2,NA,Public
Quik Park Little West LLC - Tesla Destination,2015-05-21,2015,MANHATTAN,40.70663,-74.016916,3,NA,Public
iPark NYC 555 West Garage Corp. - Tesla Destination,2015-06-24,2015,MANHATTAN,40.749296,-74.006017,3,NA,Public
Icon Parking 155 E 29th Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.742821,-73.980913,3,NA,Public
ImPark 500 4th Ave - Tesla Destination,2018-12-19,2018,BROOKLYN,40.66852,-73.990489,4,NA,Public
CORP COMM 3 STATION 3 CC3,2023-01-26,2023,STATEN ISLAND,40.604086,-74.179358,2,NA,Public
Roger Smith Hotel - Tesla Destination,2017-10-25,2017,MANHATTAN,40.754709,-73.973391,1,NA,Public
Enterprise Parking 219 E 69th St - Tesla Destination,2016-12-09,2016,MANHATTAN,40.767342,-73.960835,3,NA,Public
142 E 31st St.,2022-02-10,2022,MANHATTAN,40.74415,-73.98046,4,NA,Public
MTP Parking 755 Kent Ave - Tesla Destination,2019-01-17,2019,BROOKLYN,40.698671,-73.959625,4,NA,Public
The Crescent - Underground Parking,2023-02-21,2023,QUEENS,40.763705,-73.92767,8,NA,Public
Icon Parking 308 Greenwich - Tesla Destination,2016-04-30,2016,MANHATTAN,40.717686,-74.010613,3,NA,Public
30 Lincoln Plaza - Garage,2021-12-19,2021,MANHATTAN,40.7706,-73.9817,8,NA,Public
30-10 35th Street,2022-08-16,2022,QUEENS,40.765233,-73.918436,2,NA,Public
Riverview East - Garage,2022-01-13,2022,MANHATTAN,40.7438,-73.9769,4,NA,Public
7 Marcus Garvey Blvd,2021-12-04,2021,BROOKLYN,40.700039,-73.941261,2,NA,Public
HAMPTON INN STATION 5,2021-01-27,2021,STATEN ISLAND,40.612706,-74.179076,2,NA,Public
Brooklyn Renaissance Plaza,2022-09-30,2022,BROOKLYN,40.693463,-73.988245,6,NA,Public
60 East 94th Street - Upper Floor,2024-01-11,2024,MANHATTAN,40.785615,-73.954764,10,NA,Public
GMC 111 E 82nd St - Tesla Destination,2016-12-14,2016,MANHATTAN,40.77735,-73.958352,3,NA,Public
QBO - Queens Borough Hall Municipal Parking Garage,2023-06-01,2023,QUEENS,40.714376,-73.826095,31,3,Public
iPark NYC 425 E 58th Street - Tesla Destination,2016-07-19,2016,MANHATTAN,40.758519,-73.961272,3,NA,Public
Yorkville Towers - Garage,2024-01-12,2024,MANHATTAN,40.781919,-73.950508,10,NA,Public
NYC FLEET DPR_ICAHN_3_L3,2021-01-27,2021,MANHATTAN,40.7923,-73.92468,NA,1,Public
10 East 30th St,2022-08-10,2022,MANHATTAN,40.74538,-73.98571,6,NA,Public
Icon Parking 235 W 48th - Tesla Destination,2018-08-10,2018,MANHATTAN,40.76073,-73.985995,4,NA,Public
Century Parking Corp - Tesla Destination,2018-07-17,2018,BRONX,40.878304,-73.915227,4,NA,Public
333 Irving Ave - Garage,2021-12-19,2021,BROOKLYN,40.6984,-73.9129,4,NA,Public
Manhattan Parking Group,2021-05-03,2021,MANHATTAN,40.768721,-73.983487,1,NA,Public
Icon Parking 100 Riverside Blvd. - Tesla Destination,2016-01-21,2016,MANHATTAN,40.775474,-73.989763,3,NA,Public
3500 Dekalb Ave,2021-11-25,2021,BRONX,40.882337,-73.880265,2,NA,Public
Quik Park 86th St. LLC - Tesla Destination,2015-11-20,2015,MANHATTAN,40.775968,-73.947846,3,NA,Public
Castle Hill YMCA - Parking Lot,2022-05-28,2022,BRONX,40.81267,-73.846049,10,NA,Public
iPark NYC 61 Jane Street - Tesla Destination,2015-06-01,2015,MANHATTAN,40.738733,-74.006009,3,NA,Public
395 Lenox Rd,2021-12-17,2021,BROOKLYN,40.654476,-73.946741,4,NA,Public
GGMC Parking Alfred - Tesla Destination,2016-12-28,2016,MANHATTAN,40.771555,-73.986428,3,NA,Public
Rapidpark 9-11 W 100th Street - Tesla Destination,2017-03-14,2017,MANHATTAN,40.794519,-73.963445,3,NA,Public
55 East End Ave,2022-03-24,2022,MANHATTAN,40.772,-73.94639,6,NA,Public
INDUSTRY CITY LOT B EAST,2022-05-12,2022,BROOKLYN,40.659338,-74.006454,2,NA,Public
PANYNJ LGA E GARAGE C1,2020-06-12,2020,MANHATTAN,40.77033,-73.865683,2,NA,Public
Icon Parking 560 Third Ave - Tesla Destination,2016-04-30,2016,MANHATTAN,40.747962,-73.976569,3,NA,Public
GGMC 91 E 9th Street - Tesla Destination,2016-11-14,2016,MANHATTAN,40.730723,-73.990854,3,NA,Public
CORP COMM 3 STATION 1 CC3,2023-01-26,2023,STATEN ISLAND,40.604213,-74.179561,2,NA,Public
Enterprise Parking 200 E 69th St - Tesla Destination,2016-10-20,2016,MANHATTAN,40.767615,-73.961509,2,NA,Public
181 E 73rd Street,2022-05-20,2022,MANHATTAN,40.77082,-73.96068,4,NA,Public
Icon Parking 220 Riverside Blvd - Tesla Destination,2016-01-21,2016,MANHATTAN,40.779338,-73.987493,6,NA,Public
DSL Marketing and Energy Icon Parking,2022-09-15,2022,MANHATTAN,40.761698,-73.978338,4,NA,Public - Credit card at all times
GGMC Parking 50 E 79th St Garage - Tesla Destination,2015-08-21,2015,MANHATTAN,40.776006,-73.961626999999993,2,NA,Public
GGMC Yorkville Car Park - Tesla Destination,2016-12-21,2016,MANHATTAN,40.782212,-73.95023,3,NA,Public
Popeyes,2023-01-14,2023,BRONX,40.876952,-73.845534,6,NA,Public
351 E 51st St - Garage 1st Floor,2023-01-08,2023,MANHATTAN,40.75489,-73.966134,10,NA,Public
CORP COMM 3 STATION 2 CC3,2023-01-26,2023,STATEN ISLAND,40.604154,-74.179546,2,NA,Public
PANYNJ LGA E GARAGE W1,2021-01-27,2021,MANHATTAN,40.770752,-73.866327,2,NA,Public
Enterprise Parking 147 Flatbush Avenue Extension - Tesla Destination,2019-03-31,2019,BROOKLYN,40.695154,-73.983861,4,NA,Public
Quik Park 365 Management LLC - Tesla Destination,2017-01-10,2017,BROOKLYN,40.677412,-73.990986,3,NA,Public
115 Fort Washington Ave,2021-11-03,2021,MANHATTAN,40.839756,-73.943345,2,NA,Public
Park Kwik - 110 Livingston - Tesla Destination,2019-10-11,2019,BROOKLYN,40.690987,-73.990131,4,NA,Public
The William Vale Hotel - Tesla Destination,2016-05-09,2016,BROOKLYN,40.722137,-73.956583,4,NA,Public
The Venetian - Garage,2024-04-11,2024,BROOKLYN,40.609178,-73.971448,20,NA,Public
391 Weirfield St,2023-06-12,2023,BROOKLYN,40.696040000000004,-73.90662,6,NA,Public
iPark 455 Central Park West - Tesla Destination,2016-12-21,2016,MANHATTAN,40.797743,-73.960441,3,NA,Public
ABM Parking 750 Lexington Ave LLC - Tesla Destination,2017-02-10,2017,MANHATTAN,40.76306,-73.968409,3,NA,Public
NYC FLEET DPRWFMARNA_2_L3,2023-11-04,2023,QUEENS,40.76033,-73.855286,NA,1,Public
MPG 923 5th Ave - Tesla Destination,2017-06-13,2017,MANHATTAN,40.773004,-73.966152,3,NA,Public
Factory House Condominium - Crescent St,2023-08-15,2023,QUEENS,40.749177,-73.942084,10,NA,Public
Champion Parking 74 LLC - Tesla Destination,2018-02-22,2018,MANHATTAN,40.780027,-73.982823,3,NA,Public
Residence Inn New York Manhattan - Tesla Destination,2015-06-22,2015,MANHATTAN,40.764261,-73.982974,2,NA,Public
PANYNJ LGATCGARAGE 5-5,2024-04-06,2024,QUEENS,40.769452,-73.8655,1,NA,Public
CORP COMM 3 STATION 6 CC3,2023-01-26,2023,STATEN ISLAND,40.603961,-74.179472,2,NA,Public
TATABROOKFIELD #3,2019-08-15,2019,MANHATTAN,40.755093,-73.955605,1,NA,Public
113 East 84th Street,2024-05-02,2024,MANHATTAN,40.77866,-73.95739,4,NA,Public
528 W 162nd Garage-PARK-it - Tesla Destination,2019-08-28,2019,MANHATTAN,40.836588,-73.941328,4,NA,Public
225 W 49th St,2022-02-17,2022,MANHATTAN,40.76154,-73.98518,4,NA,Public
Gramercy Plaza  - Parking Garage,2022-08-04,2022,MANHATTAN,40.736217,-73.986665,2,NA,Public
City Parking Linc Garage - Tesla Destination,2017-06-16,2017,BROOKLYN,40.719425,-73.963964,3,NA,Public
Standard Parking 2 Metrotech - Tesla Destination,2018-05-24,2018,BROOKLYN,40.693122,-73.985696,3,NA,Public
11 East 86th Street,2022-03-16,2022,MANHATTAN,40.78147,-73.95986,2,NA,Public
Standard Parking 910 5th Avenue - Tesla Destination,2024-07-01,2024,MANHATTAN,40.772175,-73.96637,3,NA,Public
33 Norman Ave,2021-09-08,2021,BROOKLYN,40.724591,-73.954512,4,NA,Public
Raymour & Flanigan - Tesla Supercharger,2023-11-30,2023,BROOKLYN,40.581175,-73.985218,NA,12,Public
Quik Park Brooklyn Bridge LLC - Tesla Destination,2016-03-11,2016,BROOKLYN,40.692941,-74.000298,3,NA,Public
Staten Island Mall Richmond Ave Entrance,2020-08-31,2020,STATEN ISLAND,40.581734,-74.168433,2,NA,Public
Icon Parking University 10 Parking - Tesla Destination,2016-04-30,2016,MANHATTAN,40.731887,-73.991906,3,NA,Public
iPark 200 E 70th Street - Tesla Destination,2016-12-09,2016,MANHATTAN,40.768283,-73.961149,3,NA,Public
Rapidpark 150 East 77th Street - Tesla Destination,2018-04-19,2018,MANHATTAN,40.773256,-73.959334,3,NA,Public
Eventi Hotel,2022-04-13,2022,MANHATTAN,40.747093,-73.99017,1,NA,Public
Standard Parking 270 Greenwich - Tesla Destination,2018-01-08,2018,MANHATTAN,40.715071,-74.012203,3,NA,Public
New York Hilton Midtown - Tesla Destination,2017-01-26,2017,MANHATTAN,40.762234,-73.979036,2,NA,Public
"Trump Golf Links, Ferry Point - Tesla Destination",2018-08-20,2018,BRONX,40.812459,-73.83447,8,NA,Public
L&L HOLDING CO. NUGGET L2,2024-04-24,2024,MANHATTAN,40.760403,-73.97105,2,NA,Public
Bical Auto Mall - Bical Parking,2023-01-16,2023,BROOKLYN,40.602038,-73.912661,14,NA,Public
25 Broadway,2023-12-21,2023,MANHATTAN,40.70568,-74.0136,3,NA,Public
Mayfair Apts - Garage,2022-07-27,2022,MANHATTAN,40.770958,-73.958625,20,NA,Public
Icon Parking Independent - Tesla Destination,2017-08-30,2017,MANHATTAN,40.766708,-73.955483,3,NA,Public
CORP COMM 3 STATION 7 CC3,2023-01-26,2023,STATEN ISLAND,40.604252,-74.179682,2,NA,Public
Icon Parking E 48th Street - Tesla Destination,2015-11-13,2015,MANHATTAN,40.753079,-73.968032,3,NA,Public
Bronx Honda Service,2023-11-28,2023,BRONX,40.83174,-73.84485,2,NA,Public
CENTERS HEALTHC EV-2,2024-02-14,2024,BROOKLYN,40.673561,-73.926135,2,NA,Public
50 N 5th St - Garage,2022-08-21,2022,BROOKLYN,40.718585,-73.962318,10,NA,Public
Staten Island Mall Tommys Tavern and Tap,2020-08-31,2020,STATEN ISLAND,40.581128,-74.167923,2,NA,Public
Central Parking - Tower 31,2023-04-27,2023,MANHATTAN,40.74709,-73.98667,2,NA,Public
300 E 74th St - Main Floor,2023-01-17,2023,MANHATTAN,40.769964,-73.957184,20,NA,Public
411 West 55th St,2021-12-22,2021,MANHATTAN,40.76709,-73.98733,4,NA,Public
Champion Parking 60 E 8th - Tesla Destination,2015-05-21,2015,MANHATTAN,40.730487,-73.993569,3,NA,Public
AMNH-PARKING STATION 4,2024-09-30,2024,MANHATTAN,40.781478,-73.974009,2,NA,Public
Icon Parking 240 East Broadway - Tesla Destination,2018-05-24,2018,MANHATTAN,40.714821,-73.987138,3,NA,Public
Knickerbocker Plaza Car Park - Lower Level,2024-05-07,2024,MANHATTAN,40.781785,-73.949642,10,NA,Public
Standard Parking Pierepoint Plaza - Tesla Destination,2018-05-24,2018,BROOKLYN,40.695115,-73.990993,3,NA,Public
550 Prospect Place,2022-08-01,2022,BROOKLYN,40.675159,-73.958501,7,NA,Public
The Shelton Condo - Garage,2022-04-19,2022,BROOKLYN,40.6914,-73.9411,20,NA,Public
Champion Parking W 76th Street - Tesla Destination,2015-08-19,2015,MANHATTAN,40.781547,-73.980475,3,NA,Public
NYC Parking 155 East 76th Street Garage Corp.,2023-08-22,2023,MANHATTAN,40.772927,-73.959558,6,NA,Public
MPG 121 Reade Street - Tesla Destination,2018-01-08,2018,MANHATTAN,40.716268,-74.009491,3,NA,Public
Empire Outlets Garage,2022-05-27,2022,STATEN ISLAND,40.644065,-74.075153,5,NA,Public
Champion Parking E 16th Street - Tesla Destination,2015-06-01,2015,MANHATTAN,40.735736,-73.988745,3,NA,Public
GGMC Parking Connaught - Tesla Destination,2016-12-28,2016,MANHATTAN,40.757146,-73.966135,3,NA,Public
200 Liberty,2022-09-15,2022,MANHATTAN,40.710179,-74.013169,2,NA,Public - Credit card at all times
Airway Inn at LaGuardia,2024-01-15,2024,QUEENS,40.76453,-73.886133,3,NA,Public
Rapidpark 480 Riverside (120th St) - Tesla Destination,2018-01-08,2018,MANHATTAN,40.811187,-73.963571,3,NA,Public
iPark 34 N 7th Street - Tesla Destination,2017-06-13,2017,BROOKLYN,40.72054,-73.962249,8,NA,Public
iPark 245 East 63rd Street - Tesla Destination,2016-12-09,2016,MANHATTAN,40.76332,-73.962938,3,NA,Public
Balfour Building - Balfour Garage,2023-04-12,2023,QUEENS,40.720087,-73.83711,20,NA,Public
Queens Center - Tesla Supercharger,2018-12-01,2018,QUEENS,40.735082,-73.87067,NA,10,Public
67-76 Booth St - 67-76 Booth Street,2024-06-03,2024,QUEENS,40.724533,-73.852131,10,NA,Public
iPark 22/34 N 6th Garage Corp - Tesla Destination,2017-03-14,2017,BROOKLYN,40.719338,-73.963081,4,NA,Public
Revel - Queens,2024-10-08,2024,QUEENS,40.748857,-73.939357,NA,7,Public
CENTERS HEALTHC EV-10,2024-02-14,2024,BROOKLYN,40.6732,-73.925696,2,NA,Public
KOEPPEL HYUNDAI CPE250 1,2023-06-01,2023,QUEENS,40.754038,-73.919413,NA,1,Public
IPark 99 3rd Avenue - Tesla Destination,2019-03-31,2019,BROOKLYN,40.683126,-73.982088,4,NA,Public
532 Neptune Upper Parking,2023-06-23,2023,MANHATTAN,40.57978,-73.97439,8,NA,Public
Quik Park 82nd Street LLC - Tesla Destination,2015-11-20,2015,MANHATTAN,40.774511,-73.952039,3,NA,Public
245 E 90th - Garage,2024-03-18,2024,MANHATTAN,40.782305,-73.951186,11,NA,Public
Rapidpark 148 E 33rd Street - Tesla Destination,2017-06-13,2017,MANHATTAN,40.745432,-73.97956,3,NA,Public
iPark 41 E 85th Street - Tesla Destination,2016-10-20,2016,MANHATTAN,40.779876,-73.958579,3,NA,Public
Icon Parking 205 E 63rd St - Tesla Destination,2016-10-20,2016,MANHATTAN,40.763981,-73.964368,2,NA,Public
Rapidpark 99 Park Ave - Tesla Destination,2018-05-24,2018,MANHATTAN,40.750013,-73.978525,3,NA,Public
The Westport,2022-08-03,2022,MANHATTAN,40.768211,-73.989479,2,NA,Public
Icon Parking 70 Gold Street - Tesla Destination,2018-02-28,2018,MANHATTAN,40.710019,-74.004385,3,NA,Public
Champion Parking 90 LLC - Tesla Destination,2016-12-28,2016,MANHATTAN,40.783085,-73.956304,3,NA,Public
StuyTown 420 E 20 - Garage 1,2022-06-14,2022,MANHATTAN,40.7338,-73.9769,19,NA,Public
51 W 56th St - Garage,2023-08-22,2023,MANHATTAN,40.76339,-73.975838,4,NA,Public
Icon Parking 111 8th Ave Parking - Tesla Destination,2017-01-24,2017,MANHATTAN,40.741515,-74.004608,4,NA,Public
Bruno's Bakery and Restaurant Forest Ave - Tesla Destination,2019-08-28,2019,STATEN ISLAND,40.629216,-74.111537,2,NA,Public
MPG 530 West 30th - Tesla Destination,2018-05-24,2018,MANHATTAN,40.75277,-74.00265,3,NA,Public
CENTERS HEALTHC EV-7,2024-02-14,2024,BROOKLYN,40.673563,-73.926362,2,NA,Public
610 Warren Street - Tesla Destination,2017-06-16,2017,BROOKLYN,40.681263,-73.981155,6,NA,Public
Quik Park 32 Debrosses LLC - Tesla Destination,2016-03-10,2016,MANHATTAN,40.723617,-74.010915,3,NA,Public
Icon Parking E 88th Street - Tesla Destination,2015-11-13,2015,MANHATTAN,40.776461,-73.944363,3,NA,Public
iPark NYC E 77th Street - Tesla Destination,2015-05-15,2015,MANHATTAN,40.773415,-73.959234,3,NA,Public
550 W. 45th St.,2022-01-19,2022,MANHATTAN,40.7624,-73.99635,4,NA,Public
200 East End Ave,2022-04-28,2022,MANHATTAN,40.77729,-73.94355,4,NA,Public
125 W 76th Street,2022-05-06,2022,MANHATTAN,40.780397,-73.977729,2,NA,Public
Stop and Shop 566 - Arverne By-the-sea,2022-03-25,2022,QUEENS,40.589813,-73.799949,2,NA,Public
I Park - 145 W 56th St,2020-08-01,2020,MANHATTAN,40.764609,-73.979517,2,NA,Public
GGMC Belltel Car Park - Tesla Destination,2017-03-21,2017,BROOKLYN,40.692579,-73.985252,3,NA,Public
PANYNJ JFK Y GARAGE 3,2021-01-27,2021,QUEENS,40.645758,-73.779314,2,NA,Public
300 W 135 St - Little Man Parking - Tesla Destination,2019-08-28,2019,MANHATTAN,40.816777,-73.947435,4,NA,Public
Revel - Brooklyn Superhub,2024-10-08,2024,BROOKLYN,40.699334,-73.949665,NA,25,Public
Icon Parking 301 E 57 Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.759127,-73.964684,3,NA,Public
City Parking Garment One Garage - Tesla Destination,2017-06-16,2017,MANHATTAN,40.746022,-73.978693,3,NA,Public
365 Bond,2024-06-21,2024,BROOKLYN,40.677677,-73.990321,6,NA,Public
GGMC The Cove - Tesla Destination,2017-06-07,2017,MANHATTAN,40.707738,-74.016845,3,NA,Public
152 Ashland - 1st Floor,2021-11-20,2021,BROOKLYN,40.6923,-73.9797,20,NA,Public
Rapid Park - 205 W 101st 2nd Floor,2021-10-28,2021,MANHATTAN,40.79766,-73.96838,4,NA,Public
Standard Parking 1360 Fulton Street - Tesla Destination,2018-05-24,2018,BROOKLYN,40.680168,-73.946022,2,NA,Public
Courtney House - Garage,2022-01-15,2022,MANHATTAN,40.737435,-73.996123,8,NA,Public
ABM Parking 866 UN Plaza - Tesla Destination,2018-04-18,2018,MANHATTAN,40.752641,-73.965187,3,NA,Public
COM1-1 COM1-1,2023-10-14,2023,MANHATTAN,40.747486,-74.000069,NA,1,Public
1 WATERLINE STATION#4,2022-03-10,2022,MANHATTAN,40.77292,-73.992546,2,NA,Public
Quik Park Columbia Garage LLC - Tesla Destination,2016-03-14,2016,MANHATTAN,40.795624,-73.971961,3,NA,Public
Champion Parking 230 W 55th Street - Tesla Destination,2015-06-22,2015,MANHATTAN,40.764748,-73.982676,3,NA,Public
ImPark Atlantic Terrace - Tesla Destination,2018-12-19,2018,BROOKLYN,40.683287,-73.973589,4,NA,Public
Highgate - Garage,2021-12-29,2021,MANHATTAN,40.784219,-73.950323,8,NA,Public
Rapidpark 340 94th Street - Tesla Destination,2017-08-23,2017,MANHATTAN,40.782091,-73.946029,3,NA,Public
The Veneto,2019-06-21,2019,MANHATTAN,40.756766,-73.967481,2,NA,Public
Townsend Ave - Parking lot Ground level,2023-01-02,2023,BRONX,40.847928,-73.911582,6,NA,Public
540 WAVERLY 2,2024-01-05,2024,BROOKLYN,40.681764,-73.965799,2,NA,Public
Icon Liberty View Parking - Tesla Destination,2017-06-13,2017,MANHATTAN,40.716079,-74.015929,3,NA,Public
Park N Go - E 121 St - Tesla Destination,2019-10-18,2019,MANHATTAN,40.800793,-73.9371,4,NA,Public
iPark 200 West Garage Corp. - Tesla Destination,2017-11-02,2017,MANHATTAN,40.746304,-73.995064,3,NA,Public
Gateway Center at Bronx Terminal Market,2020-07-15,2020,BRONX,40.822142,-73.931128,2,NA,Public
Rapidpark 575 1st Avenue - Tesla Destination,2017-06-13,2017,MANHATTAN,40.742735,-73.974296,3,NA,Public
QFA - Queens Family Court Municipal Garage,2019-04-01,2019,QUEENS,40.701647,-73.803843,3,NA,Public
Rapidpark 70 Riverside Dr - Tesla Destination,2016-10-20,2016,MANHATTAN,40.784831,-73.982085,2,NA,Public
KOEPPEL HYUNDAI CPE250 2,2023-06-01,2023,QUEENS,40.754044,-73.919245,NA,1,Public
iPark 1510 Lex Garage Corp. - Tesla Destination,2017-02-06,2017,MANHATTAN,40.787402,-73.950546,3,NA,Public
532 W 122nd St,2020-08-28,2020,MANHATTAN,40.811446,-73.960477,4,NA,Public
Northeast Bronx YMCA,2022-02-04,2022,BRONX,40.882786,-73.841986,4,NA,Public - Credit card at all times
900 8th Ave - Garage 1st Floor,2022-07-30,2022,MANHATTAN,40.76416,-73.984372,33,NA,Public
Sherman Parking - Tesla Destination,2019-01-17,2019,BROOKLYN,40.711023,-73.968134,4,NA,Public
City Parking RL Mercer Street - Tesla Destination,2017-06-16,2017,MANHATTAN,40.721437,-74.001238,3,NA,Public
Enterprise 57 - Garage,2022-08-01,2022,MANHATTAN,40.770821,-73.992675,8,NA,Public
Icon Parking 51 W 22nd - Tesla Destination,2016-01-21,2016,MANHATTAN,40.742059,-73.992694,3,NA,Public
Rapidpark 10 E 30th Street - Tesla Destination,2017-06-13,2017,MANHATTAN,40.74556,-73.985539,3,NA,Public
Icon 80 Riverside Blvd - Tesla Destination,2016-06-30,2016,MANHATTAN,40.775374,-73.989687,3,NA,Public
Parkit 310 E 11th Street - Tesla Destination,2016-12-27,2016,MANHATTAN,40.730017,-73.985512,3,NA,Public
AMNH-PARKING STATION 3,2024-09-30,2024,MANHATTAN,40.781511,-73.973807,2,NA,Public
MPG 543 W 110th Street Garage - Tesla Destination,2017-03-21,2017,MANHATTAN,40.803963,-73.966032,3,NA,Public
Icon 9-11 Park Ave - Tesla Destination,2017-06-13,2017,MANHATTAN,40.747299,-73.981039,3,NA,Public
Enterprise Parking 150 Myrtle Ave - Tesla Destination,2019-03-31,2019,BROOKLYN,40.693476,-73.982605,4,NA,Public
HAMPTON INN STATION 3,2021-01-27,2021,STATEN ISLAND,40.612671,-74.17882,2,NA,Public
iPark - 59 Allen Street Garage,2021-09-03,2021,MANHATTAN,40.717195,-73.991658,2,NA,Public
imPark 101 Bedford Ave - Tesla Destination,2018-01-09,2018,BROOKLYN,40.719751,-73.954866,3,NA,Public
Rapidpark 44 State Street - Tesla Destination,2017-06-13,2017,BROOKLYN,40.692062,-73.99816,3,NA,Public
484 43rd St,2021-12-08,2021,BROOKLYN,40.649116,-74.006479,2,NA,Public
Kips Bay Ct - Garage,2023-03-26,2023,MANHATTAN,40.741528,-73.978103,1,NA,Public
iPark NYC The Carnegie Garage - Tesla Destination,2015-06-24,2015,MANHATTAN,40.783536,-73.949507,3,NA,Public
GMC 400 East 56th Street,2020-07-02,2020,MANHATTAN,40.757223,-73.963011,6,NA,Public
King's County Parking,2022-09-15,2022,BROOKLYN,40.656148,-73.940355,4,NA,Public - Credit card at all times
305 East 80th Street,2022-04-25,2022,MANHATTAN,40.77397,-73.9539,4,NA,Public
210 W 76th St.,2022-03-18,2022,MANHATTAN,40.78126,-73.98044,4,NA,Public
C&C Parking Lot - Tesla Destination,2024-07-01,2024,MANHATTAN,40.881544,-73.870115,1,NA,Public
Central Parking 200 Chambers - Tesla Destination,2018-01-09,2018,MANHATTAN,40.716256,-74.012543,3,NA,Public
PLAZA HYUNDAI PUBLIC 1 LVL 3,2024-01-09,2024,BROOKLYN,40.618768,-73.945081,NA,1,Public
87-50 204th St - Level 1,2024-06-11,2024,QUEENS,40.721904,-73.762449,53,NA,Public
300 West End Ave - Basement Garage,2023-08-09,2023,MANHATTAN,40.781139,-73.983118,14,NA,Public
1065 Elton St,2021-09-24,2021,BROOKLYN,40.657441,-73.874619,4,NA,Public
140 Charles St - Garage,2022-09-15,2022,MANHATTAN,40.734018,-74.007895,11,NA,Public
Rapid Park - 205 W 101st 1st Floor,2024-05-02,2024,MANHATTAN,40.79766,-73.96838,4,NA,Public
PANYNJ JFK Y GARAGE 4,2019-11-02,2019,QUEENS,40.645841,-73.779222,2,NA,Public
Rapidpark 254 W 79th Street - Tesla Destination,2017-06-13,2017,MANHATTAN,40.78411,-73.980641,3,NA,Public
Gravity Charging Center,2024-03-04,2024,MANHATTAN,40.75878,-73.99293,NA,24,Public
iPark NYC 1025 83rd - Tesla Destination,2015-08-21,2015,MANHATTAN,40.779211,-73.960949,3,NA,Public
Quik Park West 23rd Street Garage LLC - Tesla Destination,2015-05-21,2015,MANHATTAN,40.746847,-74.001816,3,NA,Public
iPark NYC 455 Central Park West - Tesla Destination,2016-07-19,2016,MANHATTAN,40.797771,-73.96142,3,NA,Public
Glenwood Belmont Parking - Tesla Destination,2018-07-19,2018,MANHATTAN,40.760098,-73.988828,2,NA,Public
Dana Ford Lincoln,2014-11-01,2014,STATEN ISLAND,40.587162,-74.194747,1,NA,Public - Call ahead
iPark NYC 333 E 38th NYU - Tesla Destination,2015-12-14,2015,MANHATTAN,40.746565,-73.971591,3,NA,Public
303 W 66th St Apts - 303 W 66th RMA,2024-06-05,2024,MANHATTAN,40.776554,-73.98764,12,NA,Public
919 Third Avenue,2022-09-01,2022,MANHATTAN,40.759299,-73.968603,1,NA,Public
GGMC Parking Union Square Parking Garage - Tesla Destination,2015-11-13,2015,MANHATTAN,40.734939,-73.989409,6,NA,Public
MTP 625 W 57th Street - Tesla Destination,2017-06-13,2017,MANHATTAN,40.77108,-73.993142,3,NA,Public
231 E 94th Street,2022-05-23,2022,MANHATTAN,40.78351,-73.94888,4,NA,Public
