Station_Name,Open_Date,Open_Year,BOROUGH,Latitude,Longitude,EV Level2 EVSE Num,EV DC Fast Count,Groups With Access Code
Parkright 738 Greenwich Street - Tesla Destination,2016-07-19,2016,MANHATTAN,40.734412,-74.007184,3,NA,Public
Sutton Place North Garage - Tesla Destination,2018-07-17,2018,MANHATTAN,40.75552,-73.962734,2,NA,Public
540 WAVERLY 5,2024-01-05,2024,BROOKLYN,40.682187,-73.965853,2,NA,Public
CORP COMM 3 STATION 8 CC3,2023-01-26,2023,STATEN ISLAND,40.604324,-74.179675,2,NA,Public
320 Mason Ave,2022-07-15,2022,MANHATTAN,40.584984,-74.088044,4,NA,Public
MPG 340 East 93rd - Tesla Destination,2018-05-23,2018,MANHATTAN,40.781413,-73.946377,3,NA,Public
StuyTown 528 E 20 - Garage 2,2021-09-21,2021,MANHATTAN,40.7335,-73.9767,19,NA,Public
StuyTown 325 Ave C - Garage 3,2022-05-20,2022,MANHATTAN,40.7326,-73.9748,19,NA,Public
383 Court St,2021-08-28,2021,BROOKLYN,40.680484,-73.996719,2,NA,Public
Quik Park 600 West 42nd Street (Silver Towers) LLC - Tesla Destination,2016-03-10,2016,MANHATTAN,40.761018,-73.99878,3,NA,Public
1 WATERLINE STATION#3,2022-03-08,2022,MANHATTAN,40.773005,-73.992868,2,NA,Public
INDUSTRY CITY LOT B WEST,2019-05-03,2019,BROOKLYN,40.659333,-74.006419,2,NA,Public
NYC FLEET DPRWFMARNA_5_L3,2023-11-04,2023,QUEENS,40.76038,-73.85531,NA,1,Public
Quik Park Hudson 180 LLC - Tesla Destination,2015-11-20,2015,MANHATTAN,40.778412,-73.988294,3,NA,Public
PANYNJ LGATCGARAGE 5-3,2024-04-06,2024,QUEENS,40.769509,-73.865421,1,NA,Public
DEEPDALE MANAGEMENT,2023-08-15,2023,QUEENS,40.757564,-73.728618,2,NA,Public
420 Gates - Garage,2022-02-26,2022,BROOKLYN,40.6863,-73.9495,7,NA,Public
167-149 Meeker Ave,2021-10-26,2021,BROOKLYN,40.714318,-73.953186,6,NA,Public
Icon Parking 203 E 61 Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.762678,-73.965447,3,NA,Public
GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,2015-11-13,2015,BROOKLYN,40.688086,-73.979234,3,NA,Public
134 N 4th St,2021-12-22,2021,BROOKLYN,40.716441,-73.960043,4,NA,Public
2750 East 12th St Series,2024-10-07,2024,BROOKLYN,40.584291,-73.957752,2,NA,Public
Barclay Tower - Garage,2024-02-13,2024,MANHATTAN,40.712224,-74.009106,20,NA,Public
iPark NYC 246 E 45 Street - Tesla Destination,2016-05-31,2016,MANHATTAN,40.751847,-73.971348,3,NA,Public
330 E 80th St - Garage,2022-07-23,2022,MANHATTAN,40.773622,-73.95325,25,NA,Public
MTP Parking 363 Bond Street - Tesla Destination,2019-01-18,2019,BROOKLYN,40.678155,-73.990443,4,NA,Public
Icon Parking 150 Charles Street - Tesla Destination,2017-11-02,2017,MANHATTAN,40.734006,-74.009079,3,NA,Public
NYC FLEET DPR_ICAHN_2_L3,2021-01-27,2021,MANHATTAN,40.79237,-73.924644,NA,1,Public
Superior Ink,2019-06-21,2019,MANHATTAN,40.737537,-74.00983,2,NA,Public
300 E 54th St - Parking Garage,2023-07-17,2023,MANHATTAN,40.757093,-73.966349,10,NA,Public
123 Leonard St,2023-06-28,2023,MANHATTAN,40.716079,-74.002165,4,NA,Public
PLAZA HYUNDAI PUBLIC LEVEL 3,2023-12-29,2023,BROOKLYN,40.618364,-73.945066,NA,1,Public
STATION 4TH FL MOTORGATE 3,2020-11-17,2020,MANHATTAN,40.764464,-73.946924,2,NA,Public
MPG Parking,2022-07-27,2022,MANHATTAN,40.758967,-73.995189,2,NA,Public
iPark 314 W 120th Street - Tesla Destination,2016-12-09,2016,MANHATTAN,40.807356,-73.954354,3,NA,Public
First Avenue Parking,2022-06-15,2022,MANHATTAN,40.745096,-73.971921,2,NA,Public
iPark 112 E 65th Street - Tesla Destination,2018-02-26,2018,MANHATTAN,40.766495,-73.9667,3,NA,Public
City Parking E 61st Street - Tesla Destination,2017-06-16,2017,MANHATTAN,40.760289,-73.959501,3,NA,Public
NYC FLEET DPRWFMARINA-S3,2021-07-24,2021,QUEENS,40.760424,-73.856316,1,NA,Public
81-09 41st Ave,2022-08-18,2022,QUEENS,40.745853,-73.884134,2,NA,Public
AMNH-PARKING STATION 1,2024-09-30,2024,MANHATTAN,40.781454,-73.973835,2,NA,Public
iPark NYC E 80th Street - Tesla Destination,2016-03-07,2016,MANHATTAN,40.77331,-73.952621,3,NA,Public
HCBR STATION 1,2022-06-21,2022,BROOKLYN,40.619335,-74.029466,1,NA,Public
Icon Parking 360 E 65th - Tesla Destination,2018-08-24,2018,MANHATTAN,40.766853,-73.967711,4,NA,Public
Riverdale Fast Parking,2022-09-15,2022,BRONX,40.879501,-73.903603,8,NA,Public - Credit card at all times
Rivers Bend - Garage,2022-05-23,2022,MANHATTAN,40.776952,-73.946235,20,NA,Public
iPark 10 West 15th - Tesla Destination,2018-05-30,2018,MANHATTAN,40.737171,-73.994331,3,NA,Public
532 Neptune Avenue,2023-06-13,2023,BROOKLYN,40.57978,-73.97439,8,NA,Public
Parkit 10 Wooster St. - Tesla Destination,2015-05-21,2015,MANHATTAN,40.721658,-74.004402,3,NA,Public
Quik Park 311 West Broadway LLC - Tesla Destination,2016-03-10,2016,MANHATTAN,40.721801,-74.004237,2,NA,Public
364 St Marks Ave - Parking Lot,2023-02-19,2023,BROOKLYN,40.677317,-73.963266,4,NA,Public
Quik Park West 57 LLC - Tesla Destination,2015-05-21,2015,MANHATTAN,40.764259,-73.974972,3,NA,Public
Enterprise Parking 545 Washington Ave - Tesla Destination,2019-03-31,2019,BROOKLYN,40.681953,-73.964405,4,NA,Public
1 WATERLINE STATION#9,2023-11-08,2023,MANHATTAN,40.772916,-73.99263,2,NA,Public
NYC FLEET DPRWFMARNA_1_L3,2024-04-06,2024,QUEENS,40.760611,-73.85697,NA,1,Public
Standard Parking 21 East 15th Street - Tesla Destination,2016-12-09,2016,MANHATTAN,40.736293,-73.991939,3,NA,Public
1170 Ocean Ave - Garage,2022-10-20,2022,BROOKLYN,40.633884,-73.958535,8,NA,Public
Kings County Parking - Tesla Destination,2017-06-16,2017,BROOKLYN,40.65601,-73.940902,2,NA,Public
444 W 19th St - Basement,2022-11-30,2022,MANHATTAN,40.744837,-74.004912,6,NA,Public
Bruno's Bakery and Restaurant Hylan Blvd - Tesla Destination,2019-08-28,2019,STATEN ISLAND,40.588091,-74.089936,2,NA,Public
The Caledonia,2022-07-19,2022,MANHATTAN,40.743832,-74.006578,2,NA,Public
MPG 201 E 56th - Tesla Destination,2018-05-24,2018,MANHATTAN,40.759437,-73.96767,3,NA,Public
EVPassport - 200 E 24th St Garage,2023-03-09,2023,MANHATTAN,40.739253,-73.982328999999993,2,NA,Public - Credit card at all times
2244 Westchester Ave,2023-12-26,2023,BRONX,40.83401,-73.85045,1,NA,Public - Credit card at all times
831 3rd Ave,2021-10-30,2021,BROOKLYN,40.656766,-74.004802,6,NA,Public
Honda of Staten Island,2024-05-08,2024,STATEN ISLAND,40.597511,-74.083684,1,1,Public
One Sutton Pl N - Garage 2nd Floor,2023-02-01,2023,MANHATTAN,40.760155,-73.959496,10,NA,Public
Standard Parking 200 Cadman Plaza West - Tesla Destination,2018-05-24,2018,BROOKLYN,40.698707,-73.992365,3,NA,Public
Wingate by Wyndham Haven Park - Tesla Destination,2024-07-01,2024,MANHATTAN,40.812851,-73.928313,4,NA,Public
Parkright 39 E 29th Street - Tesla Destination,2015-11-13,2015,MANHATTAN,40.744244,-73.984116,3,NA,Public
44 W 62nd St.,2022-02-09,2022,MANHATTAN,40.7708,-73.98323,4,NA,Public
The Andover - Garage,2023-03-06,2023,MANHATTAN,40.777778,-73.946111,20,NA,Public
TATABROOKFIELD #5,2021-01-27,2021,MANHATTAN,40.755142,-73.9556,1,NA,Public
Rapidpark 35 E 75th Street - Tesla Destination,2017-08-17,2017,MANHATTAN,40.77364,-73.963722,3,NA,Public
